RPA数据库表名,RPA账单命名,状态,平台,账单类型,RPA入库账户字段,RPA入库日期字段,STG表名,取数平台,广告归类,业务负责人,是否需要对账,店铺,品牌,是否有折扣,数据来源命名,STD表名,账户id,账户id尾缀,账户名称,账户名称尾缀,触达平台,取值字段-消耗,取值字段-推广成交额,取值字段-曝光,取值字段-点击,取值字段-费用发生日期,取值字段-费用总消耗,取值字段-现金消耗,取值字段-赠送金消耗,检查E0001-资金账户ID,检查E0002-总消耗,检查E0003-费用发生日期,检查E0004-备用,检查E0005-备用,检查E1001-投放账户ID,检查E1002-代理商,检查E1003-备用,检查E1004-备用,检查E1005-费用发生日期,检查E1006-商品ID,检查E1007-营销活动场景,检查E1008-达人ID,检查E1009-产品简称,检查E1010-产品品类,检查E1011-核算主体,检查E1012-生效合同,检查E1013-合同代理折扣,检查E1014-经分科目编码,检查E1015-资金账单,检查E2001-推广成交金额,检查E2002-曝光值,检查E2003-点击率,检查E2004-触点平台,检查E2005-广告归类,检查E2006-备用,检查E2007-备用,检查E2008-备用,检查E2009-备用,检查E2010-备用
fin_douyin_qc_bp,抖音-巨量千川-业务,1,抖音,业务,account_id,cost_date,stg_fin_douyin_qc_bp,抖音,效果,琴酒,是,1,1,1,抖音-巨量千川,std_fin_douyin_qc_bp,account_id,,account_name,,,consume,direct_trans_amt,impression_cnt,click_cnt,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,1,1,1,1,,,,,,,
fin_douyin_qc_other,抖音-巨量千川-其它,1,抖音,资金,account_id,cost_date,stg_fin_douyin_qc_other,抖音,,,是,1,0,0,抖音千川,std_fin_douyin_qc_other,account_id,,account_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_douyin_dou_brand,抖音-品牌DOU+,1,抖音,业务,account_id,order_time,stg_fin_douyin_dou_brand,抖音,内容,空青,是,1,1,0,抖音DOU+,std_fin_douyin_dou_brand,account_id,,account_name,,,consume,order_amt,live_show_impression,,order_time,,,,,,,,,0,,,,,0,,0,0,,,0,,,1,0,0,0,,,,,,,
fin_douyin_dou_matrix_num,抖音-矩阵号DOU+,1,抖音,业务,account_id,order_time,stg_fin_douyin_dou_matrix_num,抖音,内容,琴酒,是,1,1,1,抖音矩阵号DOU+,std_fin_douyin_dou_matrix_num,account_id,,account_name,,,consume,order_amt,live_show_impression,,order_time,,,,,,,,,0,,,,,0,,0,0,,,0,,,1,0,0,0,,,,,,,
fin_douyin_dou_plus,抖音-DOU+,1,抖音,业务,account_id,order_time,stg_fin_douyin_dou_plus,抖音,内容,空青,是,0,1,0,抖音官号DOU+,std_fin_douyin_dou_plus,account_id,,account_name,,,consume,order_amt,live_show_impression,,order_time,,,,,,,,,0,,,,,0,,0,0,,,0,,,1,0,0,0,,,,,,,
fin_douyin_dou_brand_cf,抖音-品牌DOU+-资金,1,抖音,资金,account_id,cost_date,stg_fin_douyin_dou_brand_cf,抖音,,,是,1,0,0,抖音官号DOU+,std_fin_douyin_dou_brand_cf,account_id,,account_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_douyin_dou_matrix_num_cf,抖音-矩阵号DOU+-资金,1,抖音,资金,account_id,cost_date,stg_fin_douyin_dou_matrix_num_cf,抖音,,,是,1,0,0,抖音矩阵号DOU+,std_fin_douyin_dou_matrix_num_cf,account_id,,account_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_douyin_dou_plus_cf,抖音-DOU+-资金,1,抖音,资金,account_id,cost_date,stg_fin_douyin_dou_plus_cf,抖音,,,是,0,0,0,抖音DOU+,std_fin_douyin_dou_plus_cf,account_id,,account_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_douyin_sel_alliance,抖音-精选联盟,1,抖音,直播,shop_code,cost_date,stg_fin_douyin_sel_alliance,抖音,,,否,1,1,0,,std_fin_douyin_sel_alliance,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,1,,,0,,,0,0,0,0,,,,,,,
fin_douyin_star_map,抖音-巨量星图,1,抖音,资金,shop_code,operation_time,stg_fin_douyin_star_map,抖音,,,否,0,0,0,巨量星图,std_fin_douyin_star_map,account_id,,account_name,,,,,,,operation_time,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_tmall_adbrain_pull_new_quicken_bp,天猫-万相台-拉新快,1,天猫,业务,shop_code,cost_date,stg_fin_tmall_adbrain_pull_new_quicken_bp,天猫,效果,洛竹,是,1,1,0,天猫-万相台-拉新快,std_fin_tmall_adbrain_pull_new_quicken_bp,shop_code,A019,shop_name,万相台-拉新快,,spend_amt,total_trans_amt,effective_impression_cnt,effective_click_cnt,cost_date,,,,,,,,,0,,,,,1,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_tmall_adbrain_put_new_quicked_bp,天猫-万相台-上新快,1,天猫,业务,shop_code,cost_date,stg_fin_tmall_adbrain_put_new_quicked_bp,天猫,效果,洛竹,是,1,1,0,天猫-万相台-上新快,std_fin_tmall_adbrain_put_new_quicked_bp,shop_code,A020,shop_name,万相台-上新快,,spend_amt,total_trans_amt,effective_impression_cnt,effective_click_cnt,cost_date,,,,,,,,,0,,,,,1,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_tmall_adbrain_member_quicken_bp,天猫-万相台-会员快,1,天猫,业务,shop_code,cost_date,stg_fin_tmall_adbrain_member_quicken_bp,天猫,效果,洛竹,是,1,1,0,天猫-万相台-会员快,std_fin_tmall_adbrain_member_quicken_bp,shop_code,A034,shop_name,万相台-会员快,,spend_amt,total_trans_amt,effective_impression_cnt,effective_click_cnt,cost_date,,,,,,,,,0,,,,,1,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_tmall_adbrain_product_quicken_bp,天猫-万相台-货品加速,1,天猫,业务,shop_code,cost_date,stg_fin_tmall_adbrain_product_quicken_bp,天猫,效果,洛竹,是,1,1,0,天猫-万相台-货品加速,std_fin_tmall_adbrain_product_quicken_bp,shop_code,A018,shop_name,万相台-货品加速,,spend_amt,total_trans_amt,effective_impression_cnt,effective_click_cnt,cost_date,,,,,,,,,0,,,,,1,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_tmall_adbrain_activity_quicken_bp,天猫-万相台-活动加速,1,天猫,业务,shop_code,cost_date,stg_fin_tmall_adbrain_activity_quicken_bp,天猫,效果,洛竹,是,1,1,0,天猫-万相台-活动加速,std_fin_tmall_adbrain_activity_quicken_bp,shop_code,A016,shop_name,万相台-活动加速,,spend_amt,total_trans_amt,effective_impression_cnt,effective_click_cnt,cost_date,,,,,,,,,0,,,,,1,,0,1,,,0,,,1,1,1,1,,,,,,,
